,SEX,SEX_MAP,EMOT,Field1,SIT,model_completion
26,1,male,6.0,shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",Regret
27,1,male,7.0,guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,Regret
28,2,female,1.0,joy,When I pass an examination which I did not think I did well.,Relief
29,2,female,2.0,fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",Worry
30,2,female,3.0,anger,When one is unjustly accused of something one has not done.,Indignation
31,2,female,4.0,sadness,When one's studies seem hopelessly difficult and uninteresting.  ,Frustration
32,2,female,5.0,disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",Betrayed
33,2,female,6.0,shame,"When one has been unjust, stupid towards someone else. ",Regret
34,2,female,7.0,guilt,When one has neglected or been unjust to a good friend.,Guilt
35,1,male,1.0,joy,Passing an exam I did not expect to pass.,Relief
36,1,male,2.0,fear,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,Anxiety
37,1,male,3.0,anger,Friends who torture animals.,Disgust
38,1,male,4.0,sadness,[ Same as in anger.],Anger
39,1,male,5.0,disgust,Friends who torture animals.,Disgust
40,1,male,6.0,shame,[ Same as above - friends who torture animals.],Disgust
41,1,male,7.0,guilt,[ When excuses are necessary and I get out of doing it myself.],Relieved
42,2,female,1.0,joy,When I had my children.,Joy
43,2,female,2.0,fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,Fear
44,2,female,3.0,anger,When my partner was attacked and lost three teeth.,Fear
45,2,female,4.0,sadness,When I see children on T.V from areas devastated by drought and war.,Compassion
46,2,female,5.0,disgust,When I nearly walked on a blindworm and then saw it crawl away.,Relief
47,2,female,6.0,shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,Guilt
48,2,female,7.0,guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.",Sadness
49,2,female,1.0,joy,When my child was born.,Joy
50,2,female,2.0,fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.",Fear
51,2,female,3.0,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ",Hurt
52,2,female,4.0,sadness,Failing an examination.,Disappointment
53,2,female,5.0,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.",Compassion
54,2,female,6.0,shame,"When, as an adult I have been caught lying or behaving badly.",Embarrassment
55,2,female,7.0,guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",Empathy
56,2,female,1.0,joy,When I saw a person I had not seen for a long time.,Joy
57,2,female,2.0,fear,"When, as a child, I was nearly knocked down by a car.",Fear
58,2,female,3.0,anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.",Shock
59,2,female,4.0,sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.",Sadness
60,2,female,5.0,disgust,When one learns through the mass media all the wars and killing going on in the world.,Sadness
61,2,female,6.0,shame,"I lied, to be precise I cancelled a meeting with a good friend.",Guilt
62,2,female,7.0,guilt,When one lets friends down,Guilt
63,1,male,1.0,joy,When I was accepted for a course on finance and accounting.,Excitement
64,1,male,2.0,fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",Fear
65,1,male,3.0,anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",Determined
66,1,male,4.0,sadness,When I was not accepted as a student in finance and accounting.,Disappointment
67,1,male,5.0,disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,Disgust
68,1,male,6.0,shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,Guilt
69,1,male,7.0,guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,Indifference
70,1,male,1.0,joy,Passed an exam by 2 points.,Relief
71,1,male,2.0,fear,"In a cottage in a large forest, I was alone for a while in the dark.",Fear
72,1,male,3.0,anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,Neutral
73,1,male,4.0,sadness,Railway station good-bye.,Sadness
74,1,male,5.0,disgust,I saw a cripple in rags with small children in Italy.  He was probably an imposter.,Compassion
75,1,male,6.0,shame,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,Relieved
76,1,male,7.0,guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,Guilt
77,1,male,1.0,joy,I passed an exam that I was absolutely certain that I had failed.,Relief
78,1,male,2.0,fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.",Fear
79,1,male,3.0,anger,I locked myself out.,Frustration
80,1,male,4.0,sadness,I missed the last tram home and had to walk in the pouring rain.,Frustration
81,1,male,5.0,disgust,I found some worms in the food and I had obviously eaten some.,Disgust
82,1,male,6.0,shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.",Worried
83,1,male,7.0,guilt,I hapened to overhear something which I was not meant to hear.,Curiosity
84,2,female,1.0,joy,When I won a trip to Greece in a competition.,Excitement
85,2,female,2.0,fear,When I am out in the dark and a suspicious looking character comes towards me.,Fear
86,2,female,3.0,anger,"At work, when an elderly man complained unjustifiably about me and distrusted me.",Frustration
87,2,female,4.0,sadness,When I had not understood anything after a lecture.,Confusion
88,2,female,5.0,disgust,When an alcoholic stood dribbling over a food counter.,Disgust
89,2,female,6.0,shame,When my friend and I were discussing the good looks of a guy we realized that he had been listening.,Embarrassment
90,2,female,7.0,guilt,When I complained about a colleague to the manager and he told her that someone had complained; this colleague came to me believing that I liked her.,Betrayed
91,1,male,1.0,joy,At a friend's birthday party with some of my closest friends.  It was all very pleasant and one could say that I was happy to have such good friends.,Joyful
92,1,male,2.0,fear,On the way home one Friday night in the heavy rain the car acquaplanned.  I lost contact with the road surface for a few seconds.,Fear
93,1,male,3.0,anger,Mad at my dad.,Anger
94,1,male,4.0,sadness,A case of unrequited love.,Sadness
95,1,male,5.0,disgust,A bad smelling cucumber.,Disgust
96,1,male,6.0,shame,Nearly caught masturbating.,Embarrassment
97,1,male,7.0,guilt,I do not help out enough at home.,Guilt
98,1,male,1.0,joy,I felt very happy when I won the football pools.,Joy
99,1,male,2.0,fear,When I flew from Athens to Copenhagen after a holiday.  The plane was caught in a storm and it began to shake and I thouhght that we were going to crash.,Fear
100,1,male,3.0,anger,When someone stole my bike.,Anger
101,1,male,4.0,sadness,"When I saw the list of books to read for an acccouting course, I thought  Oh God how will I ever manaage it!",Overwhelmed
102,1,male,5.0,disgust,It was when I read a newspaper article on the future and they foresaw that we would be eating frog-burgers by the year 2000.  An illustration showed a frog between two pieces of bread.,Amusement
103,1,male,6.0,shame,When I dropped a bottle in the state liquor store and everyboby started laughing.,Embarrassment
104,1,male,7.0,guilt,"When I was young - 14, I pinched from a store and was caught.  The store then contacted my parents.",Embarrassment
105,2,female,1.0,joy,When the whole family gets together for a one week holiday.  Everybody feels free and the trip is well planned.  It works out well and we enjoy ourselves.,Joy
106,2,female,2.0,fear,"When I could not find my 2 year old daughter.  I ran and looked for her everywhere and could not find her.  (I finally found her, she had gone to bed to sleep)",Relief
107,2,female,3.0,anger,When friends try to put me down or hurt me.  ,Hurt
108,2,female,4.0,sadness,Marriage crises.  Boredom.,Frustration
109,2,female,5.0,disgust,When someone makes advances that one does not want.,Uncomfortable
110,2,female,6.0,shame,The discovery that one has only thought of oneself.,Surprise
111,2,female,7.0,guilt,When I spanked a child in anger and later regretted it terribly.,Guilt
112,2,female,1.0,joy,When I passed the first examination that I had to repeat.,Relief
113,2,female,2.0,fear,When I drove to Stockholm for the first time and drove off the Stora Hissingen road at the wrong exit.,Anxiety
114,2,female,3.0,anger,When my boyfriend went away for a month long holiday without me.,Loneliness
115,2,female,4.0,sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.,Overwhelmed
116,2,female,5.0,disgust,When a dog is left whining outside a shop.,Concern
117,2,female,6.0,shame,When I promised to help a friend over a weekend and did not keep the promise.,Guilt
118,2,female,7.0,guilt,When I realized that I had three more examinations to take.,Anxiety
119,1,male,1.0,joy,The day I was told that I had been accepted as a student of economics.,Excitement
120,1,male,2.0,fear,"While taking a short cut through the Vasa park, I was surrounded by three people who tried to steal my money.  I was scared and was saved only by the appearance of other people.",Fear
121,1,male,3.0,anger,"At a restaurant I observed how the gypsies tried to get money by cheating the foreigners i.e non Swedish speaking.  My anger had nothing to do with hatred against foreigners, but it was an expression of the anger I feel when I see people being used .",Outrage
122,1,male,4.0,sadness,At the begining of a new course one is afraid of encountering problems one can not manage.  Thoughts revolve around failing the subject and the consequences it would have for the future.,Anxiety
123,1,male,5.0,disgust,While walking in town I noticed how the police harrassed a man who was under the influence of alcohol.  They terrified him with the thought of arrest by driving close behind him on a pedestrian street.  My disgust was directed at the gestures and the facial expressions of the policemen; they seemed to be enjoying themselves.,Outrage
124,1,male,6.0,shame,"When my boyfriend revealed that he knew that I had discovered things of an important nature about him, I felt ashamed as I had not mentioned it earlier.",Guilt
125,1,male,7.0,guilt,"When I am dishonest to a friend to whom I am very close.  I feel guilty because I know that he gives a different version of the truth and I have not corrected these mistakes, and he is aware that I know that they are wrong.",Guilt
126,1,male,1.0,joy,When I found out that I had passed the last two exams by a margin of three marks.,Relief
127,1,male,2.0,fear,When my father was ill and was waiting for the results of his tests.,Worry
128,1,male,3.0,anger,When I got caught in the pouring rain last Thursday and did not have a raincoat on me.,Frustration
129,1,male,4.0,sadness,When I failed an exam.,Disappointment
130,1,male,5.0,disgust,"At a Sm÷rgasbord table, a man mixed differnet kinds of picked herrings with fruit salad.",Surprise
131,1,male,6.0,shame,"When I had not prepared my contribution to the group as thoroughly as the other members, with the result that the overall result was poor.",Embarrassment
132,1,male,7.0,guilt,"When my father and I worked on the house just after he had recovered from illness, I was rather lazy.  This meant that he had to work hard and was not very well later.",Guilt
133,2,female,1.0,joy,When I gave birth to my son and saw that he was alive and that I had managed it well.  He was born a month too early with a malfunctioning lung.  This happened a year ago.,Relief
134,2,female,2.0,fear,When I found out that my father had lung cancer and they did not know how long he would live.,Sadness
135,2,female,3.0,anger,"When a colleague asked me for help at work, despite the fact that he had more time to do it than I had.",Frustration
136,2,female,4.0,sadness,When I did not get the salary increase that I had been expecting and understood how little one's work was appreciated.,Disappointment
137,2,female,5.0,disgust,When I was weeding the garden I found a lizard in my hand.,Surprise
138,2,female,6.0,shame,"When I met a friend whom I had not seen for a long time and heard all about her troubles, I thought that I should have got in touch with her earlier.",Regret
139,2,female,7.0,guilt,I got angry at my mother for something trivial.  We were in a bad mood because my father was very ill and I knew that my mother really needed support.  I had reacted wrongly.,Regret
140,1,male,1.0,joy,"New year's eve 1983/1984, I met my girlfriend.  We stood on the steps outside her parents home and I kissed her for the first time.",Excitement
141,1,male,2.0,fear,"When I was stopped by plain clothes policemen because the car I was driving had overturned on the Avenue.  I had been driving too fast, and I was afraid when I was stopped, questionned and then toild to go.  The situation ended happily since there were no consequences.",Relieved
142,1,male,3.0,anger,The editor changed the heading of an article that I had written.  He considered the heading to be derogatory towards the person I had written about.,Disappointed
143,1,male,4.0,sadness,"A close acquaintance of the family died of lung cancer.  Although it was expected, I still felt depressed.",Sadness
144,1,male,5.0,disgust,"When I saw a picture, in the Gothenburg Post, of a totally demolished car with two fatally injured passengers.  The car was so badly damaged that they couldn't get the bodies out at the scene of the accident.",Sadness
145,1,male,6.0,shame,One night I had a sexual intercourse with another man.  My sexual desire and my curiosity had made me jump into bed with him.  I am ashamed of myself now.,Regret
146,1,male,7.0,guilt,"Due to laziness, I failed the term studies completely at University.  I also wanted, to some extent, to protest against my parents' expectations.",Disappointment
147,1,male,1.0,joy,When I got the loan for my studies.,Relief
148,1,male,2.0,fear,I met intoxicated people with dubious intentions in a back alley one Wednesday night.,Fear
149,1,male,3.0,anger,On the T.V I saw a news feature on South Africa.  A policeman      attacked a group of black people with a whip.,Outrage
150,1,male,4.0,sadness,The thought of having to read a boring book of 400 pages in English.,Dread
151,1,male,5.0,disgust,Grovelling people.,Discomfort
152,1,male,6.0,shame,My inability to assert myself positively in a group.,Frustration
153,1,male,7.0,guilt,I experience feelings of guilt because I do not study enough.,Guilt
154,2,female,5.0,disgust,"Observing someone in the cafeteria noisily gulping in his food, having extremely bad manners.",Disgust
155,2,female,6.0,shame,I guess I have often been ashamed after having talked badly of other people.,Regret
156,2,female,7.0,guilt,Having been angry and unpleasant towards my parents.,Regret
157,2,female,1.0,joy,When my sister - after a history of one abortion and one stillbirth - gave birth to a perfectly healty boy.,Joy
158,2,female,2.0,fear,"When my sister had the still born child, she was emotionally very deep down, and it took her a long time to recover.",Empathy
159,2,female,3.0,anger,"We were starting a student project, and the teacher we talked to was very negative and not very helpful.",Frustration
160,2,female,4.0,sadness,"When my boyfriend openly let me down, preferring another girl.",Hurt
161,2,female,5.0,disgust,"I felt some disgust for my boyfriend for a time, after he had left me.",Betrayal
162,2,female,6.0,shame,Can't think of any.,Confusion
163,2,female,7.0,guilt,"Before an accident, my aunt offered me the front seat of the car, next to the driver. I declined, she took that seat and was killed there when the car crashed.",Guilt
164,1,male,1.0,joy,"Unexpected visit by a close friend, whom I hadn't seen for half a year.",Joy
165,1,male,2.0,fear,"I wandered by mistake into the safety zone of a shooting range, and was shot at.",Fear
166,1,male,3.0,anger,Being treated unfairly.,Frustration
167,1,male,4.0,sadness,Breaking up with a girl.,Sadness
168,1,male,5.0,disgust,Nothing.,Indifference
169,1,male,6.0,shame,None.,Neutral
170,1,male,7.0,guilt,Little contact with my father before he died.,Sadness
171,2,female,1.0,joy,"When I was accepted as a student at the college, not having thought it possible.",Joy
172,2,female,2.0,fear,"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed.",Grief
173,2,female,3.0,anger,"I was accused of having done something, which I hadn't and got very angry.",Indignation
174,2,female,4.0,sadness,When my grandmother died.,Sadness
175,2,female,5.0,disgust,Not applicable.,Not applicable.
176,2,female,1.0,joy,"A couple of years ago during the summer holiday, I was fishing at a lake with my husband.  Suddenly it started raining while the sun was still shining. I experienced a feeling of joy, happiness and fulfillment.  the whole nature was full of music.",Joy
177,2,female,2.0,fear,"I was alone at home, in bed reading a womens' magazine in which there were storiees of paranormal experiences.  My leg was itching and I stretched my hand to scratch and I felt another strange hand. (later I realized that it was the corner of the blanket)",Surprised
178,2,female,3.0,anger,"I went to a lecture and once again it had been cancelled, this was the second time.  One had a negative attitude towards the lecturer.",Frustration
179,2,female,4.0,sadness,"I heard that a former superior of mine had died, I was later at home home reading about it in the newspaper and I thought of our interaction and how it was no longer possible.  The limited scope of human life is sad.",Sadness
180,2,female,5.0,disgust,"In the tram there was a fat, sickly looking woman in front of me who was asking for directions in a thick voice.  When she got up to go a disgusting smell of urine came from her.  I felt that I would choke.",Disgust
181,2,female,6.0,shame,"When we were at home, my husband and I, he made a remark about something I had done, in a perfectly friendly manner.  My deed had been unjust and I knew that my husband was right, therefore my sense of shame.",Guilt
182,2,female,7.0,guilt,"I made a remark to my sister concerning her attitude to men, the way she talked and I compared her to an acquaintance of mine.  Later, the same evening, my sister looked sad.  I felt guilty about her sadness.",Regret
183,2,female,1.0,joy,"I had a summer job in Sweden, and my boyfriend came to meet me on my birthday.",Joyful
184,2,female,2.0,fear,"I went to practice in Sweden during summer, and I was afraid that I would not do well.",Anxiety
185,2,female,3.0,anger,"In the holiday cottage of our association, two of my pals came to wake me up early one morning by bringing a radio played at the highest volume into my room - it was the morning service at its loudest.",Annoyed
186,2,female,4.0,sadness,My grandmother died suddenly last summer.,Sadness
187,2,female,5.0,disgust,"My superior at the summer job swindled customers as much as he could, and once put me in a difficult situation after which I could not but detest him.",Disgust
188,2,female,6.0,shame,Once I arrived two hours late to my work place (a bank) and I was still feeling feeble and tired.,Anxious
189,2,female,7.0,guilt,Our association had Polish visitors and when they were going back by boat I did not go to see them off (I am the chairman of the association).,Regret
190,2,female,1.0,joy,"I was told quite unexpectedly that one wanted me to become the vice-chairman of our student organisation.  I was really surprised and joy was the first emotion I felt, though behind it there was worry - how shall I succeed ?",Anxiety
191,2,female,2.0,fear,"Our tutorial group was soon to be divided, and we got a list of names of freshmen, out of which five were to be in my group.  We read the names and then each group went its own way to a seminar room.  I wondered how I would cope with the new situation and if I would succeed as a group leader.",Anxiety
192,2,female,3.0,anger,"We were in a disco and the evening was not at all pleasant.  Despite my not knowing why, I was angry with my companion.  I let him feel my bad humour as I cannot hide my feelings.",Anger
193,2,female,4.0,sadness,"My grandmother died, and my mother called me one sunday morning in the Autumn.  The way my mother told me about it, I hated her at that moment.  She sounded as if she had been waiting for the death of my grandmother.  I had lost a person close to me.  I felt guilty too as I had been bad to my grandmother of late.  I had not remained calm when she no longer understood everything so well.",Grief
194,2,female,5.0,disgust,"At the underground station, a drunkard came to speak to me.  He tried to ask me something but I did not answer so he began to speak about me with his companion.  I detested this dirty growling man.",Discomfort
195,2,female,6.0,shame,"I was worried by a task related to my studies which had to be done in groups of two.  I was talking about it to my friends when I said something negative, in too abrupt a manner, concerning my work partner.  I did not quite mean what I said and I felt ashamed at having been mean enough to criticize him as he is also a friend of mine.",Regret
196,2,female,7.0,guilt,I had told my boyfriend that I did not want to go on with our relationship.  I knew that I was important to him but I wanted to be free.  I saw that this was difficult for him but I remained firm and did not change my mind.,Determined
197,1,male,1.0,joy,"Last night I had a chat with a fellow student.  I had known her for about half a year, and for the first time we were speaking the same language- meaning an inspiring discussion and encounter.",Inspired
198,2,female,3.0,anger,"[ I sometimes quarrel with my mother because she blames me, though I have not in any way been connected to some events.]",Frustration
199,2,female,4.0,sadness,"After hearing about the death of my grandfather.  First I could not believe it, but later I wept and felt the situation was hopeless.  I felt lonely and wanted to be consolated.",Grief
200,2,female,5.0,disgust,"In the evening, while I was watching TV, my little brother came in and started eating food he had brought from the kitchen while I was trying to concentrate on the program.",Annoyed
201,2,female,6.0,shame,My little brother was arrested by the police at the railway station after he had drunk some beer.,Worried
202,2,female,7.0,guilt,"At my temporary job, I have to restrict  others' actions and make them obey me, and this very often gives me  a feeling of guilt.  I wish there could be some other way of acting.",Conflict
203,2,female,1.0,joy,"I met a dear friend of mine after a long time.  I expressed my feelings in our own usual way, by mutual scolding and abusing (with complete understanding) and by touching, patting and taking the hand of the other person, etc...",Joy
204,2,female,2.0,fear,"I felt fear of the purest kind after a car accident.  The incident and images of horror kept coming back to my mind.  I wondered what could have happened to my sister, my friend and me, though nothing very serious actually happened.",Anxiety
205,2,female,3.0,anger,"Two boys whom I know were telling me, in an indecent manner, how they had teased a young and shy girl I know.  They had despised her conviction, scorned and touched her.  I got very angry and did not try to conceal it and gave it back to them.",Anger
206,2,female,4.0,sadness,"My sweetheart left me, or rather we decided to break it off by mutual consent.  The consequences were - unrestrained weeping, feelings of loneliness, hopelessness and disconsolation.  I felt that I should find a friend, to talk to joyfully and to forget.",Sadness
207,2,female,5.0,disgust,"Out of sheer curiosity, I went to see a pornographic movie in Copenhagen.  The room was full of men, who panted and masturbated.  Very disgusting.",Disgust
208,2,female,6.0,shame,"After having quarelled unnecessarily and without any reason, and having been stupidly cross in every way.",Regret
209,1,male,6.0,shame,[ Do not know.],Confusion
210,1,male,7.0,guilt,Forced to fill in a questionnaire.,Annoyed
211,1,male,1.0,joy,When I won a tennis match.,Joy
212,1,male,2.0,fear,When my dog ran out on thin ice last spring.,Fear
213,1,male,3.0,anger,When my tennis match was interrupted because a kid cycled right into the court.,Annoyed
214,1,male,1.0,joy,Celebrations on the graduation day with the orchestra playing in the garden ( I am a part of this orchestra).,Joyful
215,1,male,2.0,fear,Risk of being involved in a fight after a party.,Fear
216,1,male,3.0,anger,"I had a very heavy work load and two colleagues, whom I have nothing against, disturbed me by terror ringing, i.e continously interrupting me by telephoning.",Frustration
217,1,male,4.0,sadness,After an exam which I failed.,Disappointment
218,1,male,5.0,disgust,[ Normally I do not feel disgusted.],Neutral
219,1,male,6.0,shame,"When I overtook a car on the mainroad, misjudging the distance of an oncoming car and this resulted in tooting and flashing from the other driver (we could have collided), and I had an acquaintance in the car with me.",Embarrassment
220,1,male,7.0,guilt,"I saw a neighbour, from the same appartment block as me, lying    on the road.  He could have been injured or ill.  I kept 20 metres away and did not go to help him.",Concern
221,1,male,1.0,joy,When I met an old schhol friend (school love) who works in Sk+vde.,Nostalgia
222,1,male,2.0,fear,"When I was cycling to school, I nearly got knocked down by a car which (overtook me too closely) did not give me any swerving space.",Fear
223,1,male,3.0,anger,"When I was deputy manager during the Summer, certain deputies took liberties, more than what was normal.",Frustration
224,1,male,4.0,sadness,"When I realized that my girlfriend, whom I like, and I were going to separate.",Sadness
225,1,male,5.0,disgust,Dog dirt which thaws in the spring.,Disgust
226,1,male,6.0,shame,When I forgot my mother's birthday.,Guilt
227,1,male,7.0,guilt,[ Can not think of anything just now.],Confusion
228,1,male,1.0,joy,Passed the last exam.,Relief
229,1,male,2.0,fear,Was nearly knocked down by a car.,Fear
230,1,male,3.0,anger,I reached the bus stop and realized that I had forgotten my bus pass.,Frustration
231,1,male,4.0,sadness,My current work load is too much.  The feeling comes back from time to time.,Overwhelmed
232,1,male,5.0,disgust,[ Can not think of any situation.],Neutral
233,2,female,1.0,joy,When my one year old son gives me a spontaneous kiss.,Joy
234,2,female,2.0,fear,When someone close to me is travelling by car and is delayed.,Worry
235,2,female,3.0,anger,When someone does something wrong which affects me negatively.,Frustration
236,2,female,4.0,sadness,When I think about my parents getting old.,Concern
237,2,female,5.0,disgust,[ Can not remember.],Confusion
238,2,female,7.0,guilt,"I do not have the time for other people's problems.  My mother-in-law is sometimes depressed and I do not have the time, the desire or the strength to help.",Overwhelmed
239,2,female,1.0,joy,An ex-colleague asked me if I was interested in working in their accounts bureau.  They needed clever people and he had immediately thought of me.,Flattered
240,2,female,2.0,fear,I was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me.,Fear
241,2,female,3.0,anger,I saw a report on T.V news on apartheid in South Africa. ,Empathy
242,1,male,1.0,joy,When my girlfriend became pregnant.,Surprise
243,1,male,2.0,fear,When I nearly collided with another car.,Fear
244,1,male,3.0,anger,The time when someone let the air out of the tyres of my cycle.,Frustration
245,1,male,4.0,sadness,When I read a lot and did not remember anything.,Frustration
246,1,male,7.0,guilt,The time that I had to put my dog to sleep.,Sadness
247,1,male,4.0,sadness,Long illness.,Fear
248,2,female,1.0,joy,When I passed an exam.,Relief
249,2,female,2.0,fear,"When I was travelling by tram, I tripped and fell against the door.  I thought that I was going to fall out.",Fear
250,2,female,3.0,anger,When I missed the tram after having run for it.,Frustration
251,2,female,4.0,sadness,The inability to read a book at college.,Frustration
252,2,female,5.0,disgust,If a guy one is not interested in makes advances.,Discomfort
253,2,female,6.0,shame,I drink wine too often.,Concerned
254,2,female,7.0,guilt,I do not study enough as I do not understand it properly.,Frustration
255,2,female,1.0,joy,I worked at a lawyer's office during Summer and I got a very good reference from him.,Pride
256,2,female,2.0,fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. ,Fear
257,2,female,3.0,anger,"When I am accused of something I have not done, I get unbelievably angry.",Anger
258,2,female,4.0,sadness,"When I began to read a thick book, which I had a limited time to read.  Also when I have a lot of work to do and I cannot keep up.",Overwhelmed
259,2,female,5.0,disgust,Someone vomited on the street.,Disgust
260,2,female,6.0,shame,"I can not think of any incident when I have felt very ashamed.  There are small incidents that I am ashamed of, for instance, not sending money to the children in Ethiopia.",Regret
261,2,female,7.0,guilt,I had lunch with my ex-boyfriend and did not mention it to my fiancee.  I felt guilty despite the fact that I felt nothing for my ex-boyfriend.,Guilt
262,1,male,1.0,joy,When I was finally qualified for my profession.,Pride
263,1,male,2.0,fear,Someone attacked me with a knife.,Fear
264,1,male,3.0,anger,Someone drove into my car and then denied that it had happened.,Anger
265,1,male,4.0,sadness,When I was told that my friend's wife had cancer.,Sadness
266,1,male,5.0,disgust,When I saw a dog which had been knocked down by a car.,Sadness
267,1,male,6.0,shame,When I boxed my child's ears.,Regret
268,1,male,7.0,guilt,When I was fined for speeding.,Frustration
269,1,male,1.0,joy,I stopped working (had a boring job).,Relief
270,1,male,2.0,fear,"I was going home by car late one night when it was cold, dark and windy.  I became rather panicky on the way to my house.",Fear
271,1,male,3.0,anger,Quarrel in the family.,Sadness
272,1,male,4.0,sadness,When I am alone in a room with no contact with anyone - loneliness drains me.,Loneliness
273,1,male,5.0,disgust,When I was on holiday someone vomited in front of me.,Disgust
274,1,male,6.0,shame,Emptied a bucket of water in a hospital.,Concerned
