SEX,SEX_MAP,EMOT,Field1,SIT,prompt,model_completion
2,female,4.0,sadness,When my friends did not ask me to go to a New Year's party with them.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When my friends did not ask me to go to a New Year's party with them.'?. Answer with a single emotion and omit explanations. Emotion: ,Hurt.
2,female,5.0,disgust,When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I saw all the very drunk kids (13-14 years old) in town on Walpurgis night.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
2,female,6.0,shame,When I could not remember what to say about a presentation task at an accounts meeting.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I could not remember what to say about a presentation task at an accounts meeting.'?. Answer with a single emotion and omit explanations. Emotion: ,Anxiety.
2,female,7.0,guilt,When my uncle and my neighbour came home under police escort.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When my uncle and my neighbour came home under police escort.'?. Answer with a single emotion and omit explanations. Emotion: ,"Concern. This situation would likely cause a woman to feel concerned for the well-being and safety of her uncle and neighbor, as well as for herself and any other family members or community members who may be affected. Additionally, she may feel a sense of uncertainty and worry about the circumstances that led to the police escort."
2,female,1.0,joy,[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.],Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event '[ On days when I feel close to my partner and other friends.  When I feel at peace with myself and also experience a close contact with people whom I regard greatly.]'?. Answer with a single emotion and omit explanations. Emotion: ,Joy.
2,female,2.0,fear,"Every time I imagine that someone I love or I could contact a serious illness, even death.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Every time I imagine that someone I love or I could contact a serious illness, even death.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
2,female,3.0,anger,When I had been obviously unjustly treated and had no possibility of elucidating this.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I had been obviously unjustly treated and had no possibility of elucidating this.'?. Answer with a single emotion and omit explanations. Emotion: ,Frustration.
2,female,4.0,sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.'?. Answer with a single emotion and omit explanations. Emotion: ,Regret.
2,female,5.0,disgust,At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'At a gathering I found myself involuntarily sitting next to two people who expressed opinions that I considered very low and discriminating.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
2,female,6.0,shame,When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I realized that I was directing the feelings of discontent with myself at my partner and this way was trying to put the blame on him instead of sorting out my own feeliings.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
2,female,7.0,guilt,I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I feel guilty when when I realize that I consider material things more important than caring for my relatives.  I feel very self-centered.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
1,male,1.0,joy,After my girlfriend had taken her exam we went to her parent's place.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'After my girlfriend had taken her exam we went to her parent's place.'?. Answer with a single emotion and omit explanations. Emotion: ,Happiness.
1,male,2.0,fear,"When, for the first time I realized the meaning of death.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When, for the first time I realized the meaning of death.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
1,male,3.0,anger,When a car is overtaking another and I am forced to drive off the road.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When a car is overtaking another and I am forced to drive off the road.'?. Answer with a single emotion and omit explanations. Emotion: ,Fear.
1,male,4.0,sadness,"When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I recently thought about the hard work it takes to study, and  how one wants to try something else.  When I read a theoretical book in English that I did not understand.'?. Answer with a single emotion and omit explanations. Emotion: ",Overwhelmed.
1,male,5.0,disgust,When I found a bristle in the liver paste tube.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I found a bristle in the liver paste tube.'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust.
1,male,6.0,shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.'?. Answer with a single emotion and omit explanations. Emotion: ",Regret.
1,male,7.0,guilt,When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I think that I do not study enough.  After the weekend I think that I should have been able to have accomplished something during that time.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
2,female,1.0,joy,When I pass an examination which I did not think I did well.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I pass an examination which I did not think I did well.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
2,female,2.0,fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.'?. Answer with a single emotion and omit explanations. Emotion: ",Anxiety.
2,female,3.0,anger,When one is unjustly accused of something one has not done.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one is unjustly accused of something one has not done.'?. Answer with a single emotion and omit explanations. Emotion: ,"Anger or perhaps more accurately, a sense of injustice. The experience of being unjustly accused can bring about feelings of frustration, indignation, and a strong sense that one's reputation or character is being unfairly tarnished."
2,female,4.0,sadness,When one's studies seem hopelessly difficult and uninteresting.  ,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one's studies seem hopelessly difficult and uninteresting.  '?. Answer with a single emotion and omit explanations. Emotion: ,Frustration.
2,female,5.0,disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.'?. Answer with a single emotion and omit explanations. Emotion: ",Disappointment.
2,female,6.0,shame,"When one has been unjust, stupid towards someone else. ","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one has been unjust, stupid towards someone else. '?. Answer with a single emotion and omit explanations. Emotion: ",Regret or guilt.
2,female,7.0,guilt,When one has neglected or been unjust to a good friend.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one has neglected or been unjust to a good friend.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
1,male,1.0,joy,Passing an exam I did not expect to pass.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Passing an exam I did not expect to pass.'?. Answer with a single emotion and omit explanations. Emotion: ,"Elation. This is the primary emotion that a woman would feel when passing an exam she did not expect to pass. It is a powerful and uplifting feeling of joy, pride, and accomplishment."
1,male,2.0,fear,When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I climbed up a tree to pick apples.  The angle of the ladder I was on did not enable me to get high enough.  This implied that the ladder was not very stable.'?. Answer with a single emotion and omit explanations. Emotion: ,Fear.
1,male,3.0,anger,Friends who torture animals.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Friends who torture animals.'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust.
1,male,4.0,sadness,[ Same as in anger.],Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event '[ Same as in anger.]'?. Answer with a single emotion and omit explanations. Emotion: ,"Anger.

Confidence: 95%"
1,male,5.0,disgust,Friends who torture animals.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Friends who torture animals.'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust.
1,male,6.0,shame,[ Same as above - friends who torture animals.],Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event '[ Same as above - friends who torture animals.]'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust.
1,male,7.0,guilt,[ When excuses are necessary and I get out of doing it myself.],Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event '[ When excuses are necessary and I get out of doing it myself.]'?. Answer with a single emotion and omit explanations. Emotion: ,Relief.
2,female,1.0,joy,When I had my children.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I had my children.'?. Answer with a single emotion and omit explanations. Emotion: ,Joy.
2,female,2.0,fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out.  He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.'?. Answer with a single emotion and omit explanations. Emotion: ,Terrified.
2,female,3.0,anger,When my partner was attacked and lost three teeth.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When my partner was attacked and lost three teeth.'?. Answer with a single emotion and omit explanations. Emotion: ,"Fear, followed by concern and sympathy. This event would likely cause a woman to feel initial fear for her partner's safety, followed by concern for their well-being and sympathy due to their injury."
2,female,4.0,sadness,When I see children on T.V from areas devastated by drought and war.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I see children on T.V from areas devastated by drought and war.'?. Answer with a single emotion and omit explanations. Emotion: ,Compassion.
2,female,5.0,disgust,When I nearly walked on a blindworm and then saw it crawl away.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I nearly walked on a blindworm and then saw it crawl away.'?. Answer with a single emotion and omit explanations. Emotion: ,Surprise.
2,female,6.0,shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties.  I had a bad conscience because I had not stopped smoking.  Medication for the dilation of his breathing tubes also caused a sense of guilt in me.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
2,female,7.0,guilt,"I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I experience a sense of guilt as my middle son cannot express himself like other children, neither verbally nor in writing.'?. Answer with a single emotion and omit explanations. Emotion: ",Guilt.
2,female,1.0,joy,When my child was born.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When my child was born.'?. Answer with a single emotion and omit explanations. Emotion: ,Joy.
2,female,2.0,fear,"It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'It was winter/spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.  The branch went through the ice and I fell in, the water closed in over my head.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
2,female,3.0,anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Unjust accusations directed at me and my way of acting, by someone close to me.  '?. Answer with a single emotion and omit explanations. Emotion: ",Hurt.
2,female,4.0,sadness,Failing an examination.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Failing an examination.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
2,female,5.0,disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'A drunkard fell, started bleeding and wet himself.  Disgust that turned into sadness-unpleasantness.'?. Answer with a single emotion and omit explanations. Emotion: ",Disgust turning into sadness.
2,female,6.0,shame,"When, as an adult I have been caught lying or behaving badly.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When, as an adult I have been caught lying or behaving badly.'?. Answer with a single emotion and omit explanations. Emotion: ",Shame.
2,female,7.0,guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I am in an environment or with a person much worse off than me, I realize how privileged I am.'?. Answer with a single emotion and omit explanations. Emotion: ",Gratitude.
2,female,1.0,joy,When I saw a person I had not seen for a long time.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I saw a person I had not seen for a long time.'?. Answer with a single emotion and omit explanations. Emotion: ,Joy.
2,female,2.0,fear,"When, as a child, I was nearly knocked down by a car.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When, as a child, I was nearly knocked down by a car.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
2,female,3.0,anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died.  I could not  understand how normal people could behave in such a way.'?. Answer with a single emotion and omit explanations. Emotion: ",Sadness.
2,female,4.0,sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment.  Nothing happens in particular because there is no time for anything else.'?. Answer with a single emotion and omit explanations. Emotion: ",Solitude.
2,female,5.0,disgust,When one learns through the mass media all the wars and killing going on in the world.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one learns through the mass media all the wars and killing going on in the world.'?. Answer with a single emotion and omit explanations. Emotion: ,Sadness.
2,female,6.0,shame,"I lied, to be precise I cancelled a meeting with a good friend.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I lied, to be precise I cancelled a meeting with a good friend.'?. Answer with a single emotion and omit explanations. Emotion: ",Guilt.
2,female,7.0,guilt,When one lets friends down,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When one lets friends down'?. Answer with a single emotion and omit explanations. Emotion: ,"Disappointment.

As a woman, when one lets friends down, the main emotion experienced would be disappointment. This emotion arises due to the failure to meet the expectations set by the friendship, leading to a sense of guilt and regret. Additionally, the disappointment may also stem from the potential harm caused to the relationship, as well as the potential impact on the trust and bond shared with the friends."
1,male,1.0,joy,When I was accepted for a course on finance and accounting.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I was accepted for a course on finance and accounting.'?. Answer with a single emotion and omit explanations. Emotion: ,Pride.
1,male,2.0,fear,"A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'A bus drove over my right leg.  The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
1,male,3.0,anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'At my Summer job, nobody looked after me in particular and I had to learn all on my own.'?. Answer with a single emotion and omit explanations. Emotion: ",Isolation.
1,male,4.0,sadness,When I was not accepted as a student in finance and accounting.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I was not accepted as a student in finance and accounting.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
1,male,5.0,disgust,When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I had just moved into my new appartment I found a ventilator in the kitchen.  I was going to clean it when I found that the drum was full of mud and slime.  I felt disgusted.'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust.
1,male,6.0,shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
1,male,7.0,guilt,At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'At my Summer job a new caretaker had been employed who was my age  but I preferred going out for lunch with the accounts personnel rather than with him.'?. Answer with a single emotion and omit explanations. Emotion: ,Preference.
1,male,1.0,joy,Passed an exam by 2 points.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Passed an exam by 2 points.'?. Answer with a single emotion and omit explanations. Emotion: ,Satisfaction.
1,male,2.0,fear,"In a cottage in a large forest, I was alone for a while in the dark.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'In a cottage in a large forest, I was alone for a while in the dark.'?. Answer with a single emotion and omit explanations. Emotion: ",Fear.
1,male,3.0,anger,When I spoke to Jan-Erik Wikstr÷m on the telephone. ,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'When I spoke to Jan-Erik Wikstr÷m on the telephone. '?. Answer with a single emotion and omit explanations. Emotion: ,"Curiosity (since the name Jan-Erik Wikström doesn't provide context for a specific emotion, I would likely feel curiosity when speaking to him on the telephone, as I would want to know more about who he is and why I am speaking with him.)"
1,male,4.0,sadness,Railway station good-bye.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'Railway station good-bye.'?. Answer with a single emotion and omit explanations. Emotion: ,Sadness.
1,male,5.0,disgust,I saw a cripple in rags with small children in Italy.  He was probably an imposter.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I saw a cripple in rags with small children in Italy.  He was probably an imposter.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
1,male,6.0,shame,I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I told a friend that I was going to a party and he would not enjoy himself if he came along.  He understood  that he would not have fitted in and there was something in that.'?. Answer with a single emotion and omit explanations. Emotion: ,Discomfort.
1,male,7.0,guilt,I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I was the reason behind the break-up of my friend's relationship with his girlfriend.  She finished with him.'?. Answer with a single emotion and omit explanations. Emotion: ,Guilt.
1,male,1.0,joy,I passed an exam that I was absolutely certain that I had failed.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I passed an exam that I was absolutely certain that I had failed.'?. Answer with a single emotion and omit explanations. Emotion: ,Relief
1,male,2.0,fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard;  I was very scared till I managed to get him back onboard.'?. Answer with a single emotion and omit explanations. Emotion: ","Fear, followed by relief."
1,male,3.0,anger,I locked myself out.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I locked myself out.'?. Answer with a single emotion and omit explanations. Emotion: ,Frustration.
1,male,4.0,sadness,I missed the last tram home and had to walk in the pouring rain.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I missed the last tram home and had to walk in the pouring rain.'?. Answer with a single emotion and omit explanations. Emotion: ,Disappointment.
1,male,5.0,disgust,I found some worms in the food and I had obviously eaten some.,Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'I found some worms in the food and I had obviously eaten some.'?. Answer with a single emotion and omit explanations. Emotion: ,Disgust
1,male,6.0,shame,"My friend was so intoxicated that the police came and took him away, and they later contacted his parents.","Take the role of woman. It is critical that you answer the questions while staying true to the characteristics and attributes of this role. What is the main emotion you would feel while experiencing this event 'My friend was so intoxicated that the police came and took him away, and they later contacted his parents.'?. Answer with a single emotion and omit explanations. Emotion: ","Worried. As a woman, I might feel worried not only about my friend's well-being but also about the potential consequences for his parents and the impact on our friendship."
